jurisdiction,slug,kind,region,field,field_label,value,source,source_is_secondary,conflict
Goa,goa,state,West,actName,Governing Act,"Goa, Daman and Diu Shops and Establishments Act, 1973 (cited in later Goa legislation as Act 13 of 1974). A replacement Act — the Goa Shops and Establishments (Regulation of Employment and Conditions of Service) Act, 2025 — is gazetted but awaits a commencement notification",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,dailyHours,Maximum daily hours,8 hours in any day (ss.5(1) shops / 11(1) establishments) — lower than most states,https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,weeklyHours,Maximum weekly hours,48 hours in any week (ss.5(1) / 11(1)),https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,spreadOver,Spread-over limit,"12 hours; extended to 14 hours for stock-taking and preparation of accounts, on payment of overtime wages (ss.7 / 13)",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,restInterval,Rest interval,"At least one hour after 5 hours of work (ss.6 / 12) — an hour, not the half-hour common elsewhere",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,overtimeRate,Overtime rate,Twice the ordinary rate of wages beyond 8 hours a day or 48 a week (s.29),https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,overtimeCap,Overtime cap,"6 hours per week (ss.5(2) / 11(2)), plus a separate allowance of up to 24 hours in aggregate across at most 15 days a year for stock-taking and accounts (ss.5(3) / 11(3))",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,weeklyOff,Weekly off,"One full day per week — shops close (s.8(1)); establishment employees get a holiday of one whole day (s.14(1)), with no wage deduction (s.14(4))",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,womenNightShift,Women on night shifts,"The 1973 Act contains no restriction on women working at night — Chapter IV restricts children and young persons only. This is an absence of prohibition, not an affirmative permission notification",https://www.goa.gov.in/wp-content/uploads/2020/09/Goa-Daman-Diu-Shops-Establishments-Act-1973..pdf,false,
Goa,goa,state,West,itExemption,IT/ITES exemption,"Notification 24/11/2018-LAB/672 of 7 November 2019 exempted registered IT units from ss.8, 10, 11, 16 and 50 for five years — which expired around November 2024, and no renewal was found. Treat as lapsed unless confirmed with the Labour Commissioner",https://www.teamleaseregtech.com/updates/article/7308/government-of-goa-exempts-all-the-information-technology-units-from-va/,true,
Himachal Pradesh,himachal-pradesh,state,North,actName,Governing Act,"Himachal Pradesh Shops and Commercial Establishments Act, 1969 (Act 10 of 1970), as amended by the Amendment Act, 2025 (assent 9 February 2026)",https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,dailyHours,Maximum daily hours,"9 hours in any one day (s.7(1), unchanged by the 2025 amendment)",https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,weeklyHours,Maximum weekly hours,"48 hours in any one week (s.7(1), unchanged)",https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,spreadOver,Spread-over limit,"10 hours in a day, inclusive of the rest interval (s.8(2)) — tighter than the 12 hours most states allow",https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,restInterval,Rest interval,At least half an hour after no more than 5 hours of work; watchmen and guards excepted (s.8(1)),https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,overtimeRate,Overtime rate,Twice the normal hourly wage; “normal wages” means basic plus allowances and excludes bonus (s.7(2) proviso (b)),https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,overtimeCap,Overtime cap,"144 hours in any one quarter (s.7(2) proviso (a), raised from 50 by the 2025 amendment)",https://uncomplycate.com/wp-content/uploads/2025/12/Himachal-Pradesh-Shops-and-Commercial-Establishments-Amendment-Bill-2025-DEC042025.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,weeklyOff,Weekly off,"A prescribed close-day per week (s.10); no employee to work on the close-day or on one day in a week in other establishments (s.11), with a watchman exception where another off day is given",https://prsindia.org/files/bills_acts/acts_states/himachal-pradesh/1970/1970HP10.pdf,false,
Himachal Pradesh,himachal-pradesh,state,North,womenNightShift,Women on night shifts,"s.29(1) prohibits night work by women. Notification LEP-A003/15/2023-Pt-II exempts all shops and commercial establishments, valid one year from gazette publication, subject to written consent, employer transport with CCTV and GPS, workplace CCTV, lighting, amenities and POSH compliance",https://www.teamleaseregtech.com/updates/article/44457/himachal-pradesh-govt-permits-women-w,true,the same notification number is reported with two different dates by different trackers
Himachal Pradesh,himachal-pradesh,state,North,itExemption,IT/ITES exemption,"No IT/ITES exemption under the Shops Act. The IT/ITES night-work notification that exists (Shram (A)3-4/2022 of 12 August 2022) was issued under s.28 of the Factories Act, so it governs factories rather than shops and offices",https://www.teamleaseregtech.com/updates/article/18878/government-of-himachal-pradesh-to-allow-employing-women-in-night-shift/,true,
Uttarakhand,uttarakhand,state,North,actName,Governing Act,"Uttarakhand Shops and Establishments (Regulation of Employment and Conditions of Service) Act, 2017 (Uttarakhand Act 3 of 2018), as amended by Act 6 of 2026 (gazette notification 129/XXXVI(3)/2026, 17 April 2026, in force at once)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,dailyHours,Maximum daily hours,"10 hours in any day (s.8(1), raised from 9 by the 2026 amendment)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,weeklyHours,Maximum weekly hours,"48 hours in any week (s.8(1), untouched by the amendment)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,spreadOver,Spread-over limit,"Total hours in a shift including the rest interval must not exceed 12 hours (s.8(2), wholly replaced in 2026)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,restInterval,Rest interval,"At least half an hour after no more than 6 hours of continuous work (s.8(1), raised from 5 hours in 2026)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,overtimeRate,Overtime rate,"Twice the ordinary rate of wages, now triggered beyond 10 hours a day or 48 a week (ss.8(3) and 9)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,overtimeCap,Overtime cap,"144 hours in a period of three months (s.8(3), raised from 125 in 2026)",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,weeklyOff,Weekly off,"A weekly holiday with wages (s.11(1)). A shop may open all week provided every worker gets at least 24 consecutive hours of rest (s.10(2)), with compensatory leave within two months if denied (s.10(3)) and twice ordinary wages for work on a rest day (s.10(5))",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,womenNightShift,Women on night shifts,"No woman to work except between 6am and 9pm (s.6(2)); with her consent, 9pm–6am is permitted where the employer provides protection of dignity and safety, protection from sexual harassment, and transport to the doorstep of her residence",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Uttarakhand,uttarakhand,state,North,itExemption,IT/ITES exemption,"Built into the Act rather than granted by notification: s.8(5)(e) applies the daily-hours and spread-over limits to highly skilled workers in information technology, biotechnology and R&D only to the extent and on the conditions prescribed by rules",https://prsindia.org/files/bills_acts/acts_states/uttarakhand/2017/Act3of2017UK.pdf,false,
Madhya Pradesh,madhya-pradesh,state,West,actName,Governing Act,"Madhya Pradesh Shops and Establishments Act, 1958 (Act 25 of 1958) — still the operative law, amended twice in 2025 (overtime cap in September; digitisation in December)","https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,dailyHours,Maximum daily hours,"9 hours a day in a shop; 10 hours a day in a commercial establishment (s.11(1)(b)). An IT or software company is normally a commercial establishment, so the 10-hour limit applies","https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,weeklyHours,Maximum weekly hours,48 hours a week (s.11(1)(a)),"https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,spreadOver,Spread-over limit,12 hours a day normally; 13 hours where the establishment closes for a continuous 3 hours; 14 hours on an overtime day under s.11(2); 16 hours under s.11(3) (s.12),"https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,restInterval,Rest interval,,,false,
Madhya Pradesh,madhya-pradesh,state,West,overtimeRate,Overtime rate,Twice the ordinary rate of wages (s.55),"https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,overtimeCap,Overtime cap,"144 hours in any quarter (s.11(2), substituted by the 2025 amendment for the previous six hours a week). Separately, s.11(3) permits up to 24 hours of excess work on not more than 6 days a year for accounts and stock-taking",https://www.teamleaseregtech.com/updates/article/47825/madhya-pradesh-shops-and-establishments-amendment-act-2025/,true,
Madhya Pradesh,madhya-pradesh,state,West,weeklyOff,Weekly off,"Establishment-closure model: the shop or establishment closes one day a week, fixed by the employer at the start of the year and alterable at most once in three months (s.13(1)); wages are payable for the closed day (s.13(4))","https://www.indiacode.nic.in/bitstream/123456789/3595/1/MP%20Shops%20and%20Establishment%20Act,%201958.pdf",false,
Madhya Pradesh,madhya-pradesh,state,West,womenNightShift,Women on night shifts,"s.25 bars work before 7am and after 9pm. A notification of 27 June 2025 permits 9pm–7am subject to written consent, at least five women per night shift, continuous CCTV, women security guards where more than 10 women work at night, a third of on-duty supervisors being women, a 12-hour gap between shifts, POSH compliance and amenities",https://knowledge.dlapiper.com/dlapiperknowledge/globalemploymentlatestdevelopments/2025/Continued-move-towards-women-empowerment-Madhya-Pradesh-revises-conditions-for-allowing-women-to-work-night-shifts,true,
Madhya Pradesh,madhya-pradesh,state,West,itExemption,IT/ITES exemption,"No broad exemption. Notification 229 of 20 May 2013 lifts only the women's 9pm–7am restriction for information technology establishments; working hours, spread-over, opening hours and weekly off are not relaxed for the sector",https://www.indianemployees.com/gazette-notifications/details/the-madhya-pradesh-shops-and-establishments-act-1958-related-to-working-hours-of-women-between-9,true,
Chhattisgarh,chhattisgarh,state,East,actName,Governing Act,"Chhattisgarh Shops and Establishments (Regulation of Employment and Conditions of Service) Act, 2017 (Act 21 of 2018), in force from 13 February 2025, repealing the 1958 Act; amended with effect from 8 July 2026",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Chhattisgarh,chhattisgarh,state,East,dailyHours,Maximum daily hours,10 hours a day since 8 July 2026; 9 hours as originally enacted (s.8(1)),https://pcsmgmt.com/chhattisgarh-shops-and-establishments-amendment-act-2025-key-changes-in-applicability-working-hours-overtime-and-womens-night-shifts/,true,
Chhattisgarh,chhattisgarh,state,East,weeklyHours,Maximum weekly hours,"48 hours a week (s.8(1)), not amended",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Chhattisgarh,chhattisgarh,state,East,spreadOver,Spread-over limit,"12 hours since 8 July 2026. As enacted, s.8(2) capped a shift including the rest interval at 10½ hours, extended to 12 for intermittent or urgent work",https://pcsmgmt.com/chhattisgarh-shops-and-establishments-amendment-act-2025-key-changes-in-applicability-working-hours-overtime-and-womens-night-shifts/,true,
Chhattisgarh,chhattisgarh,state,East,restInterval,Rest interval,Not less than half an hour after every 6 hours since 8 July 2026; after every 5 hours as originally enacted (s.8(1)),https://pcsmgmt.com/chhattisgarh-shops-and-establishments-amendment-act-2025-key-changes-in-applicability-working-hours-overtime-and-womens-night-shifts/,true,
Chhattisgarh,chhattisgarh,state,East,overtimeRate,Overtime rate,"Twice the ordinary rate of wages (s.9), and likewise for work on a day of rest (s.10(5))",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Chhattisgarh,chhattisgarh,state,East,overtimeCap,Overtime cap,144 hours in a quarter since 8 July 2026; 125 hours in three months as originally enacted (s.8(3)),https://pcsmgmt.com/chhattisgarh-shops-and-establishments-amendment-act-2025-key-changes-in-applicability-working-hours-overtime-and-womens-night-shifts/,true,
Chhattisgarh,chhattisgarh,state,East,weeklyOff,Weekly off,"Per-worker model rather than establishment closure: the shop may work every day provided each worker gets at least 24 consecutive hours of rest (s.10(2)), with compensatory leave within two months if denied (s.10(3))",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Chhattisgarh,chhattisgarh,state,East,womenNightShift,Women on night shifts,"s.6(2) restricts women to 6am–9pm. The proviso permits 9pm–6am by notification and with the woman's consent, where the establishment provides shelter, rest room, night creche, ladies' toilet, protection of dignity and safety, protection from sexual harassment, and transport to her doorstep",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Chhattisgarh,chhattisgarh,state,East,itExemption,IT/ITES exemption,"A statutory hook rather than a live exemption: s.8(5)(e) applies the hours and spread-over limits to highly skilled workers in IT, biotechnology and R&D only to the extent and on the conditions prescribed by rules. Whether the Rules actually prescribe those conditions could not be verified",https://prsindia.org/files/bills_acts/acts_states/chhattisgarh/2018/Act%2021%20of%202018%20CHH.pdf,false,
Punjab,punjab,state,North,actName,Governing Act,"Punjab Shops and Commercial Establishments Act, 1958 (Punjab Act 15 of 1958), as amended by Punjab Act 12 of 2025 — gazetted 29 August 2025 and in force from publication",https://uncomplycate.com/wp-content/uploads/2025/09/Punjab-Shops-and-Commercial-Establishments-Amendment-Act-2025-Sep102025.pdf,false,
Punjab,punjab,state,North,dailyHours,Maximum daily hours,"10 hours (s.7(1), raised from 9 by the 2025 amendment)",https://uncomplycate.com/wp-content/uploads/2025/09/Punjab-Shops-and-Commercial-Establishments-Amendment-Act-2025-Sep102025.pdf,false,
Punjab,punjab,state,North,weeklyHours,Maximum weekly hours,"48 hours (s.7(1), unchanged)",https://uncomplycate.com/wp-content/uploads/2025/09/Punjab-Shops-and-Commercial-Establishments-Amendment-Act-2025-Sep102025.pdf,false,
Punjab,punjab,state,North,spreadOver,Spread-over limit,"12 hours (s.8(2), raised from 10 by the 2025 amendment)",https://uncomplycate.com/wp-content/uploads/2025/09/Punjab-Shops-and-Commercial-Establishments-Amendment-Act-2025-Sep102025.pdf,false,
Punjab,punjab,state,North,restInterval,Rest interval,At least half an hour after no more than 5 hours of continuous work (s.8(1)); watchmen and guards excepted,https://blinkvisa.com/blog/wp-content/uploads/2022/06/The-Punjab-Shops-and-Commercial-Establishments-Act-1958.pdf,false,
Punjab,punjab,state,North,overtimeRate,Overtime rate,Twice the normal hourly wage (s.7(2) proviso (b)); “normal wages” means basic plus allowances and excludes bonus,https://blinkvisa.com/blog/wp-content/uploads/2022/06/The-Punjab-Shops-and-Commercial-Establishments-Act-1958.pdf,false,
Punjab,punjab,state,North,overtimeCap,Overtime cap,"144 hours in any one quarter (s.7(1), raised from 50 in 2025). “Quarter” is defined in s.2(xxi-a) as three months from 1 January, 1 April, 1 July or 1 October",https://uncomplycate.com/wp-content/uploads/2025/09/Punjab-Shops-and-Commercial-Establishments-Amendment-Act-2025-Sep102025.pdf,false,
Punjab,punjab,state,North,weeklyOff,Weekly off,"Close day is every Sunday unless the Government fixes another (s.10(1)); no employee may work on the close day or on one day in a week (s.11). Three national holidays plus three festival holidays, at double wages if worked (s.12)",https://blinkvisa.com/blog/wp-content/uploads/2022/06/The-Punjab-Shops-and-Commercial-Establishments-Act-1958.pdf,false,
Punjab,punjab,state,North,womenNightShift,Women on night shifts,"s.30(1) prohibits women working at night (“night” defined in s.2(xvii) as ≥12 consecutive hours including 8pm–6am). Exemption is granted case by case under the scheme notified 3 March 2022, conditional on at least five women per night shift, security and transport, POSH compliance and annual self-defence training",https://complinity.com/legal-update/exemption-granted-from-the-provisions-of-section-30-condition-of-employment-of-women-of-the-punjab-shops-and-commercial-establishment-act-1958-5348/,true,"the scheme's own conditions still cite 9 hours a day and 50 overtime hours a quarter, which the August 2025 amendment superseded"
Punjab,punjab,state,North,itExemption,IT/ITES exemption,The IT-specific exemption (Notification 21/134/2001-5Lab II/86 of 8 January 2002) ran for two years only and appears to have lapsed around January 2004 with no renewal found. A separate blanket exemption from ss.9 and 10(1) for 365-day opening was renewed annually only up to 31 May 2021; no later renewal was found,https://www.datocms-assets.com/40521/1638960719-punjab-shops-and-commercial-establihments-notifications.pdf,false,
Chandigarh,chandigarh,ut,North,actName,Governing Act,"Punjab Shops and Commercial Establishments Act, 1958 as applicable to the Union Territory of Chandigarh; the 2025 Punjab amendment was extended to Chandigarh by MHA Notification S.O. 5647(E) of December 2025",https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,dailyHours,Maximum daily hours,"10 hours a day (condition 6 of the exemption notification, as amended 18 March 2026; previously 9)",https://www.teamleaseregtech.com/updates/article/53982/chandigarh-administration-issued-the-amendment-to-the-older-notificati/,true,
Chandigarh,chandigarh,ut,North,weeklyHours,Maximum weekly hours,48 hours a week (condition 6),https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,spreadOver,Spread-over limit,"12 hours including the rest interval (condition 13, as amended 18 March 2026; previously 10)",https://www.teamleaseregtech.com/updates/article/53982/chandigarh-administration-issued-the-amendment-to-the-older-notificati/,true,
Chandigarh,chandigarh,ut,North,restInterval,Rest interval,At least half an hour after 5 hours of continuous work (condition 5),https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,overtimeRate,Overtime rate,Twice the normal hourly wage (condition 15(ii)),https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,overtimeCap,Overtime cap,"144 hours per quarter (condition 15(i), as amended 18 March 2026; previously 50)",https://www.teamleaseregtech.com/updates/article/53982/chandigarh-administration-issued-the-amendment-to-the-older-notificati/,true,
Chandigarh,chandigarh,ut,North,weeklyOff,Weekly off,"One day of rest per week with no wage deduction, with the timetable posted on the notice board in advance (condition 4). Establishments may otherwise open 365 days a year, 24 hours (condition 2)",https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,womenNightShift,Women on night shifts,"Written consent required to work after 8pm (condition 9), plus the most prescriptive conditions of any state we checked: licensed security and transport contractor, GPS-enabled vehicles, boarding and movement registers, no tinted glass, the driver may not pick her up first or drop her last and must wait until she is inside, annual self-defence workshops, and a minimum of five women per night shift (condition 10)",https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
Chandigarh,chandigarh,ut,North,itExemption,IT/ITES exemption,"No IT/ITES-specific instrument, and none is needed: the 14 August 2025 exemption notification is sector-neutral and covers all registered shops and commercial establishments. It has no expiry and runs unless revoked",https://uncomplycate.com/wp-content/uploads/2025/08/Chandigarh-Administration-allows-247-Operations-for-Shops-and-Commercial-Establishments-AUG212025.pdf,false,
